Botanical name,C for coastal,Coastal preference,Description,Common Name,Drainage Preferences,Drought tolerance,Flower description,Frost tolerance,G for groundcover,H for hardiness,Height average,Position preference,D for dappled,Soil type,T for tasmanian,Wet area plant,Average width,Wind resistance,Detailed Description
Homoranthus papillatus,C,moderate coastal exposure,scented container plant compact contrast foliage,,very good drainage,drought tolerant,honey gold flowers in spring,frost hardy,,,0.75,prefers full sun,,light clay to sandy soils,,,1.2,wind resistant,"Known for its scented container plant compact contrast foliage, Homoranthus papillatus makes an excellent addition to any garden. scented container plant compact contrast foliage. It showcases honey gold flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.75 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Pimelea sylvestris,,mild coastal sites,tip prune after flowering - attracts butterflies,,very good drainage,usually tolerates dry periods,white flowers in spring,frost hardy,,,1.1,part shade to full sun,,light clay to sandy soils,,,1.0,some wind protection,"Pimelea sylvestris is well-regarded for tip prune after flowering - attracts butterflies. It showcases white flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.1 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Scaevola nitida,,mild coastal sites,more upright Fan Flower tip prune occasionally - attracts butterflies,Blue Fan Flower,very good drainage,usually tolerates dry periods,"blue fans in spring, summer & autumn",light frosts only,,,0.8,part shade to full sun,,light clay to sandy soils,,,1.5,wind resistant,"Known for its more upright fan flower tip prune occasionally - attracts butterflies, Blue Fan Flower makes an excellent addition to any garden. more upright fan flower tip prune occasionally - attracts butterflies. It showcases blue fans in spring, summer & autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Allocasuarina nana Casuarina,C,moderate coastal exposure,graceful shrub for dry sites useful screen plant,Dwarf She Oak,very good drainage,very drought tolerant,small rusty red flowers in spring,frost hardy,,,1.25,prefers full sun,,light clay to sandy soils,,,2.0,wind resistant,"Dwarf She Oak (Allocasuarina nana Casuarina) is recognized for graceful shrub for dry sites useful screen plant. It showcases small rusty red flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.25 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Anigozanthos Orange Cross,C,moderate coastal exposure,cut flowers - container or border plant gets inkspot - clumped habit - attracts birds,,moist well drained site,usually tolerates dry periods,burnt orange tubular paws in summer,frost hardy,,,1.2,prefers full sun,,prefers sandy soils,,,1.2,some wind protection,"Anigozanthos Orange Cross (Anigozanthos Orange Cross) is recognized for cut flowers - container or border plant gets inkspot - clumped habit - attracts birds. It showcases burnt orange tubular paws in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.2 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Poa poiformis,C,severe coastal exposure,clumping habit creates attractive border mass revegatation work - attracts butterflies,Coastal Tussock Grass,moist well drained site,very drought tolerant,flower plumes in spring,frost hardy,,,0.4,part shade to full sun,,light clay to sandy soils,T,,0.6,very wind resistant,"Coastal Tussock Grass (Poa poiformis) is recognized for clumping habit creates attractive border mass revegatation work - attracts butterflies. It showcases flower plumes in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.4 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Carex fascicularis,,mild coastal sites,clumping habit mass plant for revegatation work,,grows well in wet sites,usually moisture reliant,developes long seed heads in summer,very frost & snow hardy,,H,0.6,part shade to full sun,,heavy clay or peat soils,T,W,0.6,very wind resistant,"Carex fascicularis (Carex fascicularis) is recognized for clumping habit mass plant for revegatation work. It showcases developes long seed heads in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.6 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Lemon Supreme,C,moderate coastal exposure,tip prune for density very good bird attracting plant,,good drainage,usually tolerates dry periods,yellow flowers in spring,frost hardy,,,1.7,prefers full sun,,light clay to sandy soils,,,2.0,wind resistant,"Grevillea Lemon Supreme is well-regarded for tip prune for density very good bird attracting plant. It showcases yellow flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Nancy Otzen,C,moderate coastal exposure,tip prune for density very good bird attracting plant,,good drainage,usually tolerates dry periods,red flowers in spring,frost hardy,,,1.0,prefers full sun,,light clay to sandy soils,,,1.2,wind resistant,"Grevillea Nancy Otzen is a remarkable plant admired for tip prune for density very good bird attracting plant. It showcases red flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Correa Carpet Bells,C,moderate coastal exposure,compact groundcover for retainer walls also bird attracting,,good drainage,drought tolerant,"pink bells autumn, winter & spring",very frost hardy,G,,0.3,part shade to full sun,,light clay to sandy soils,,,1.5,wind resistant,"Correa Carpet Bells is well-regarded for compact groundcover for retainer walls also bird attracting. It showcases pink bells autumn, winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
